"","X0.9"
"1",1.6
"2",0.1
"3",0.6
"4",2
"5",0.8
"6",1.4
"7",1.3
"8",2.2
"9",0.1
"10",3
"11",-0.2
"12",-2.6
"13",-3.8
"14",0.9
"15",1.9
"16",-0.4
"17",-6
"18",-5
"19",-4.6
"20",-5.3
"21",-7.3
"22",-8.5
"23",-9.9
"24",-13.1
"25",-10.2
"26",-8.7
"27",0.4
"28",1.9
"29",0.8
"30",-1.6
"31",-0.9
"32",0.5
"33",-4.1
"34",-2.8
"35",-2.6
"36",-3.3
"37",-2.8
"38",-7.6
"39",-5.8
"40",-6.4
"41",-5.9
"42",-5.3
"43",-8.6
"44",-12.6
"45",-15.3
"46",-7.4
"47",0.5
"48",1.1
"49",-2.4
"50",-0.7
"51",-4.5
"52",-0.6
"53",0.3
"54",0.2
"55",0.7
"56",0.8
"57",2.3
"58",0.1
"59",1.1
"60",-1.4
"61",-0.6
"62",0.3
"63",-1.1
"64",-3.6
"65",-1.9
"66",0.1
"67",-0.4
"68",-3.9
"69",-1.2
"70",-4
"71",-4.8
"72",-7.8
"73",-3.1
"74",-4.6
"75",2.2
"76",1
"77",-1.6
"78",-3.2
"79",0.1
"80",-5.2
"81",-6.5
"82",-5.3
"83",0
"84",-6.8
"85",-6.9
"86",-5
"87",-9.4
"88",-9.4
"89",-10.4
"90",-8.4
"91",0.9
"92",-7
"93",-11.7
"94",-9
"95",-7.9
"96",-8.4
"97",-9.8
"98",-13.4
"99",-2.8
"100",-1.2
"101",-1.6
"102",-0.2
"103",-2.6
"104",-3.6
"105",-2.1
"106",0.1
"107",0.1
"108",0.5
"109",0.9
"110",1
"111",0.7
"112",2.4
"113",3
"114",2.7
"115",0
"116",-0.2
"117",-0.3
"118",-3.2
"119",-6.8
"120",-6.8
"121",-6.4
"122",-3.1
"123",-0.5
"124",0.8
"125",2.2
"126",3
"127",4.7
"128",4
"129",3.5
"130",4.4
"131",4.3
"132",4
"133",2.9
"134",1.8
"135",1.8
"136",1.6
"137",1.6
"138",1.8
"139",3.4
"140",4.5
"141",5.8
"142",3.3
"143",4.8
"144",4.1
"145",4.2
"146",1.6
"147",1.1
"148",1.6
"149",2.4
"150",2.5
"151",1.7
"152",2.2
"153",4.1
"154",3.1
"155",3.4
"156",5.5
"157",2.2
"158",3.3
"159",5.6
"160",6.3
"161",6.1
"162",6.2
"163",8.5
"164",5.5
"165",7
"166",4.7
"167",2.3
"168",1.3
"169",-0.2
"170",1.3
"171",2.9
"172",4.5
"173",5.9
"174",4.4
"175",2.2
"176",4.4
"177",4.4
"178",3.4
"179",5.2
"180",6.2
"181",6.5
"182",7
"183",6.1
"184",1.9
"185",3.5
"186",6.9
"187",6.2
"188",6.4
"189",6.5
"190",6.7
"191",6.7
"192",7.6
"193",6.1
"194",5.1
"195",3.6
"196",4.8
"197",7.5
"198",6.1
"199",6.8
"200",6.7
"201",7.9
"202",7
"203",5.8
"204",6
"205",6.1
"206",7.5
"207",7.8
"208",9.1
"209",7.1
"210",6.4
"211",6.8
"212",7.4
"213",6.7
"214",3.7
"215",4.7
"216",3.4
"217",1.4
"218",2.6
"219",2.5
"220",3.2
"221",5.8
"222",7.2
"223",6.2
"224",8.9
"225",7.2
"226",5.5
"227",4.4
"228",4.9
"229",4.7
"230",4.4
"231",3.5
"232",4.2
"233",5
"234",5.2
"235",5.5
"236",3.6
"237",3.4
"238",6.5
"239",6.4
"240",8.8
"241",6.1
"242",4.3
"243",4.5
"244",6.9
"245",4.8
"246",5.8
"247",6
"248",2.6
"249",-1.7
"250",-0.8
"251",-0.8
"252",0.1
"253",-0.1
"254",2
"255",2.6
"256",3.8
"257",7.3
"258",6.3
"259",4.6
"260",6.2
"261",4.2
"262",4.7
"263",4.3
"264",3.1
"265",3.8
"266",7.2
"267",4.6
"268",6.4
"269",6.1
"270",4.5
"271",4.2
"272",2.9
"273",1.1
"274",0.9
"275",2.1
"276",1
"277",0.6
"278",5.3
"279",1.7
"280",0.1
"281",-1.1
"282",-2.4
"283",-5.8
"284",1.7
"285",2.4
"286",0.6
"287",-1.4
"288",2.1
"289",-1.6
"290",-0.2
"291",2.6
"292",0.7
"293",2.3
"294",-1.3
"295",-2.5
"296",-4.9
"297",-4.4
"298",-4.7
"299",-5.4
"300",-4.4
"301",1.3
"302",1.4
"303",-1.3
"304",-1.7
"305",-2.9
"306",-2.8
"307",-2.9
"308",-2.3
"309",-3.1
"310",-0.5
"311",-4.3
"312",-7.1
"313",-7.5
"314",-4.7
"315",-5
"316",-6.4
"317",-8.5
"318",-10.4
"319",-15.2
"320",-10.6
"321",-9.3
"322",-8
"323",-7.9
"324",-7.8
"325",-8.9
"326",-14.2
"327",-3.6
"328",-0.1
"329",-2.4
"330",0.2
"331",-1.3
"332",-6.1
"333",-5.7
"334",-5
"335",-4.2
"336",-3.8
"337",-6.3
"338",-7
"339",-6.2
"340",-6.3
"341",-5.4
"342",-11
"343",-8.5
"344",-5.6
"345",-9.5
"346",-3.7
"347",-3.7
"348",-3.2
"349",-3.8
"350",1.3
"351",3.5
"352",2.5
"353",0.9
"354",-1.5
"355",-3.2
"356",-4.9
"357",-6.1
"358",-3.4
"359",1.4
"360",-6.2
"361",-5.2
"362",-7.4
"363",-3
"364",-4.1
"365",-6.5
"366",-4.9
"367",-6.8
"368",-1.7
"369",-0.7
"370",1.9
"371",2.4
"372",1.9
"373",1.7
"374",3.2
"375",3.3
"376",0.6
"377",0.6
"378",-1.9
"379",-1.4
"380",1.3
"381",-4.5
"382",-6.1
"383",0.1
"384",-4.2
"385",1.6
"386",-1.5
"387",-1.5
"388",-2.8
"389",-3.9
"390",-5.6
"391",-10.9
"392",-6.4
"393",-0.8
"394",-2.2
"395",-5.3
"396",-9.9
"397",-2.5
"398",-4.9
"399",-0.3
"400",-3.3
"401",-5.4
"402",-5.1
"403",-14.9
"404",-12.7
"405",-12.4
"406",-9.5
"407",-4.3
"408",-14.4
"409",-14.5
"410",-14.5
"411",-11.2
"412",-4.8
"413",-3.4
"414",-10.5
"415",-6.2
"416",-1.6
"417",-6.2
"418",-11.3
"419",-14.7
"420",-18.3
"421",-10.3
"422",-10.8
"423",-2.8
"424",-3.6
"425",-4.8
"426",-2.7
"427",-5.6
"428",-7.7
"429",-10.7
"430",-7
"431",-0.1
"432",-0.5
"433",-6
"434",-2.7
"435",1.3
"436",1.3
"437",1
"438",1
"439",0.4
"440",1.6
"441",-0.2
"442",2.2
"443",1.7
"444",0.6
"445",1.2
"446",-3.1
"447",-10.5
"448",-13.4
"449",-10.7
"450",-1.3
"451",-5.6
"452",-6.7
"453",-4.9
"454",-13.7
"455",-15.8
"456",-16.6
"457",-15.8
"458",-5
"459",-8
"460",-6.5
"461",-7
"462",-7.1
"463",-1.5
"464",2.2
"465",2.4
"466",3.2
"467",2.8
"468",0.9
"469",2.2
"470",-0.4
"471",-1.5
"472",1.3
"473",2.6
"474",2.3
"475",1.9
"476",1.5
"477",1.4
"478",1.9
"479",1.7
"480",0
"481",-1.6
"482",-8.2
"483",-7.3
"484",-7.8
"485",-5.1
"486",-5.7
"487",-6.5
"488",-3.3
"489",-0.8
"490",-0.4
"491",-0.1
"492",-0.2
"493",-3.1
"494",-3.9
"495",-3.7
"496",-3.4
"497",-4.8
"498",-3.8
"499",0.3
"500",1.7
"501",2.4
"502",1.9
"503",0
"504",2
"505",3.8
"506",2.9
"507",3.3
"508",2.6
"509",1.8
"510",2.7
"511",2.9
"512",1.5
"513",2
"514",-0.5
"515",-1.4
"516",-0.7
"517",-0.8
"518",-0.5
"519",2.4
"520",2.6
"521",2.4
"522",1.5
"523",1.2
"524",1.9
"525",0.2
"526",-1.5
"527",-2.8
"528",-1.7
"529",-0.9
"530",2.6
"531",3
"532",6.9
"533",6.5
"534",6
"535",3.9
"536",4.2
"537",6
"538",6.7
"539",5.6
"540",5.7
"541",4.5
"542",4.1
"543",4.1
"544",4.8
"545",5.2
"546",1.5
"547",1.7
"548",3.3
"549",4.5
"550",5.4
"551",3.4
"552",5.5
"553",4.1
"554",5.1
"555",6.5
"556",9.3
"557",10.5
"558",8.4
"559",9.3
"560",11.7
"561",10.2
"562",8.4
"563",9.8
"564",10.1
"565",7.5
"566",7.9
"567",9.7
"568",10.5
"569",11.5
"570",11
"571",10
"572",8.3
"573",6.4
"574",6.8
"575",5.4
"576",3.5
"577",6.7
"578",8.4
"579",6.4
"580",6.8
"581",5.8
"582",4.5
"583",3.4
"584",2.4
"585",4
"586",4.2
"587",5.2
"588",5.3
"589",6.3
"590",6.5
"591",6.1
"592",8.5
"593",6.7
"594",2
"595",1.8
"596",2.8
"597",3.8
"598",5.3
"599",7.9
"600",10.3
"601",10.3
"602",10.2
"603",8.6
"604",7.2
"605",7.5
"606",6.5
"607",7.1
"608",6
"609",4.8
"610",4.3
"611",3.8
"612",4.2
"613",5
"614",3.1
"615",3.8
"616",1.3
"617",1.5
"618",4.7
"619",7.5
"620",8.5
"621",8
"622",6.6
"623",7.3
"624",7.3
"625",8.7
"626",7.5
"627",5
"628",2.1
"629",2
"630",2.2
"631",4.2
"632",3.3
"633",2.4
"634",1.2
"635",0
"636",-1.2
"637",-0.3
"638",2.9
"639",6.3
"640",6.9
"641",3.9
"642",1.7
"643",4.6
"644",6.1
"645",4.2
"646",0.1
"647",-4.2
"648",-3.9
"649",-0.9
"650",-3.5
"651",-1.4
"652",-5
"653",-7
"654",-7.3
"655",-10.2
"656",-8.3
"657",-3.1
"658",-4.6
"659",-1.7
"660",1.5
"661",0.2
"662",0.8
"663",-0.1
"664",-0.6
"665",-3.1
"666",-2.8
"667",2.3
"668",4.3
"669",-0.2
"670",-0.2
"671",-1.3
"672",-3.9
"673",-7.7
"674",-11.5
"675",-2.7
"676",1.3
"677",-0.8
"678",-4.8
"679",-9.1
"680",-5.6
"681",-4.1
"682",-9.1
"683",-10.4
"684",-15.8
"685",-15.8
"686",-15.3
"687",-13.4
"688",-11.6
"689",-2.2
"690",-2.4
"691",-10.8
"692",-17.4
"693",-18.3
"694",-16.3
"695",-8.9
"696",-4.6
"697",-6.7
"698",-5.6
"699",-3.8
"700",0.1
"701",0.1
"702",-2.5
"703",-2.8
"704",-5.7
"705",-15.5
"706",-16.3
"707",-5.4
"708",-4.2
"709",-11.2
"710",-11.2
"711",-8.4
"712",-18.8
"713",-14.7
"714",-6.2
"715",-12.4
"716",-22.4
"717",-21.4
"718",-14
"719",-13
"720",-15.8
"721",-15.2
"722",-16.6
"723",-7.1
"724",-4.8
"725",-5.3
"726",-8.8
"727",-8
"728",-12.3
"729",-13.3
"730",-10.7
"731",-9.4
"732",-8.4
"733",-3.3
"734",-0.1
"735",-0.4
"736",0.1
"737",-1.3
"738",-3.2
"739",-2.7
"740",-4.1
"741",-2
"742",-3.5
"743",-3.3
"744",-3.9
"745",-6.1
"746",-7.9
"747",-4.8
"748",-8.2
"749",-2.1
"750",-1.9
"751",-4.3
"752",-0.6
"753",-2
"754",-3.4
"755",-6.2
"756",-4.7
"757",-5.2
"758",-8.1
"759",-3.6
"760",-5.6
"761",-2.4
"762",-4.3
"763",-3.4
"764",-1.7
"765",-4.6
"766",-9.4
"767",-12.7
"768",-14.7
"769",-14.3
"770",-14.2
"771",-9.2
"772",-9.4
"773",-4.7
"774",-8.5
"775",-10.9
"776",-15.2
"777",-12.8
"778",-1.5
"779",-4.1
"780",-3.5
"781",-0.7
"782",-3.4
"783",-11.6
"784",-1.3
"785",-1.9
"786",-0.4
"787",-0.7
"788",-3
"789",-0.4
"790",-5.4
"791",-9.8
"792",-1.5
"793",1
"794",0.5
"795",0.1
"796",-0.7
"797",1.2
"798",2.5
"799",1.3
"800",0.6
"801",0.2
"802",-0.8
"803",-3
"804",-4.3
"805",-4.7
"806",-4.1
"807",-2.9
"808",-5.9
"809",-6.7
"810",-2.3
"811",1.4
"812",-0.1
"813",0.4
"814",-0.7
"815",-3.4
"816",-1.8
"817",-0.5
"818",1.6
"819",1
"820",1.6
"821",0.2
"822",-1.9
"823",-1.9
"824",2
"825",2.1
"826",2.1
"827",0.9
"828",-0.4
"829",-1.3
"830",-1.4
"831",-0.5
"832",-0.8
"833",0.8
"834",2.3
"835",2.1
"836",2
"837",2.1
"838",1.8
"839",2.5
"840",2.5
"841",0.9
"842",0.8
"843",2.5
"844",2.7
"845",2.7
"846",1.7
"847",0.4
"848",0.3
"849",1.9
"850",3.2
"851",3.8
"852",3.5
"853",1.3
"854",2.5
"855",1.9
"856",1.4
"857",0.3
"858",0
"859",0.1
"860",2.7
"861",5.5
"862",4.2
"863",4.9
"864",5.1
"865",5.2
"866",6.1
"867",5.7
"868",5.3
"869",4.4
"870",5.6
"871",5
"872",2.7
"873",4.6
"874",5.2
"875",4.7
"876",2
"877",-0.9
"878",0.6
"879",1.6
"880",2.4
"881",5.5
"882",6.2
"883",7.5
"884",4.9
"885",3.8
"886",5.9
"887",4.4
"888",3.9
"889",1.2
"890",2
"891",3.1
"892",4
"893",6.9
"894",6.8
"895",3.4
"896",4.2
"897",3.3
"898",3
"899",2
"900",3
"901",5.9
"902",8.8
"903",13.1
"904",13.9
"905",12.4
"906",12
"907",10.1
"908",6.3
"909",3
"910",3.1
"911",4.2
"912",3.9
"913",5.1
"914",6.3
"915",6.3
"916",3
"917",7.4
"918",7.7
"919",9.8
"920",10.3
"921",9.5
"922",8.2
"923",4
"924",6.9
"925",8.3
"926",8.5
"927",6.9
"928",8.5
"929",8.1
"930",7.7
"931",6.5
"932",5.6
"933",3.7
"934",7.9
"935",9.7
"936",10.9
"937",9.7
"938",11.5
"939",9
"940",3.5
"941",4
"942",3.3
"943",6.1
"944",5.7
"945",5.9
"946",7.2
"947",8.9
"948",8.9
"949",10.1
"950",9.4
"951",9.2
"952",10.7
"953",9.3
"954",10
"955",7.4
"956",6.6
"957",5.5
"958",6
"959",6.8
"960",6.3
"961",6.3
"962",5.4
"963",3.1
"964",1.6
"965",2.9
"966",1.5
"967",0.6
"968",-0.4
"969",1.2
"970",2.1
"971",5
"972",5.8
"973",8.4
"974",6.3
"975",9
"976",7.8
"977",5.9
"978",5.6
"979",3.6
"980",1.9
"981",1.6
"982",2.2
"983",3.6
"984",3.5
"985",5.2
"986",3.3
"987",0.9
"988",0.7
"989",0.8
"990",-2.8
"991",-1.6
"992",-1.2
"993",1.4
"994",-1.1
"995",-3.9
"996",-5.6
"997",-4.6
"998",-3.4
"999",-3.2
"1000",-5
"1001",-4.7
"1002",-3
"1003",-0.8
"1004",-0.2
"1005",0.1
"1006",0.3
"1007",0.3
"1008",-2.7
"1009",-2.3
"1010",-2
"1011",-1
"1012",-0.6
"1013",0.9
"1014",2.1
"1015",2.5
"1016",5.3
"1017",4.2
"1018",2
"1019",0.1
"1020",1.4
"1021",-1.4
"1022",-3.1
"1023",-1.2
"1024",-1.2
"1025",-1.2
"1026",2.7
"1027",-4.3
"1028",-1.6
"1029",-1.1
"1030",-8.4
"1031",-10.6
"1032",0.6
"1033",0.7
"1034",-1.3
"1035",-1.1
"1036",-0.6
"1037",-0.1
"1038",2
"1039",0.5
"1040",-1.3
"1041",0.3
"1042",-0.4
"1043",-4.8
"1044",-5.8
"1045",-2.6
"1046",-5.8
"1047",-4.2
"1048",-4.6
"1049",-4
"1050",-6.1
"1051",-8.6
"1052",-8.7
"1053",-4.6
"1054",-5.8
"1055",-4.6
"1056",-2.6
"1057",-2
"1058",-1.8
"1059",-2.8
"1060",-3.2
"1061",-5.9
"1062",-7
"1063",-1.8
"1064",-2.6
"1065",-3.5
"1066",-4.2
"1067",-4.7
"1068",-11.6
"1069",-5.9
"1070",-1.8
"1071",-5.3
"1072",-3.4
"1073",-10.5
"1074",-12.7
"1075",-13.2
"1076",-14.2
"1077",-3.8
"1078",-9.1
"1079",-11.1
"1080",-7.2
"1081",-9.1
"1082",-12.7
"1083",-13.2
"1084",-12.7
"1085",-17
"1086",-19.4
"1087",-11.6
"1088",-7.3
"1089",-9.8
"1090",-11.3
"1091",-4.1
"1092",-5.9
"1093",-6.8
"1094",-2.4
"1095",-5.4
