"","rate","error"
"1",1403,8.6
"2",1426,13.2
"3",1377,14.8
"4",1405,14.6
"5",1364,7.2
"6",1399,10.5
"7",1372,10.6
"8",1475,9.7
"9",1318,13.1
"10",1378,11.4
"11",1454,6.1
"12",1399,5.9
"13",1399,8
"14",1351,11.5
"15",1396,8.7
"16",1346,13.3
"17",1391,9.5
"18",1382,12.2
"19",1402,9.2
"20",1415,8
"21",1421,12.7
"22",1354,6.7
"23",1313,8.3
"24",1350,8.9
"25",1391,8.8
"26",1371,5.9
"27",1378,16.3
"28",1332,12.1
"29",1390,14.9
"30",1393,15.5
"31",1410,12.2
"32",1315,10.4
"33",1409,11.1
"34",1394,11.7
"35",1407,9
"36",1482,8.2
"37",1389,11.7
"38",1398,10.9
"39",1416,8.3
"40",1401,10
"41",1447,12
"42",1385,9.8
"43",1405,12.7
"44",1462,13.4
"45",1427,10.8
"46",1430,13.5
"47",1361,11.7
"48",1402,11.9
"49",1435,11.1
"50",1375,10.8
"51",1399,12.9
"52",1422,17.6
"53",1323,11
"54",1392,14.9
"55",1384,10
"56",1417,13.7
"57",1356,12.5
"58",1382,7.6
"59",1389,16.4
"60",1414,14.9
"61",1389,6.3
"62",1379,8.8
"63",1321,9.6
"64",1404,13.1
"65",1446,7.1
"66",1272,7.5
"67",1385,10.7
"68",1401,10.4
"69",1339,8.9
"70",1432,8.3
"71",1401,10.7
"72",1384,14.1
"73",1425,5.5
"74",1409,6
"75",1359,8.8
"76",1446,11.3
"77",1426,10.3
"78",1356,6.7
"79",1365,11.8
"80",1390,10.5
"81",1346,10.2
"82",1370,12.9
"83",1387,8.5
"84",1439,9.6
"85",1371,7
"86",1372,8.3
"87",1341,8.5
"88",1403,11.2
"89",1381,6.9
"90",1417,16.9
"91",1353,10.9
"92",1408,8.9
"93",1397,7.8
"94",1382,11.9
"95",1351,14.4
"96",1396,14
"97",1400,12.1
"98",1347,7.4
"99",1383,11.1
"100",1443,8.6
"101",1349,10.7
"102",1416,14.4
"103",1341,11.3
"104",1441,9.8
"105",1365,6.7
"106",1405,13
"107",1422,10.2
"108",1362,8.1
"109",1408,9.8
"110",1339,11.3
"111",1398,9.5
"112",1333,10.4
"113",1415,6.7
"114",1421,11.6
"115",1362,9.9
"116",1446,12.2
"117",1357,14.1
"118",1471,11.7
"119",1409,7.4
"120",1376,14.3
"121",1428,11.6
"122",1404,8.8
"123",1301,9.3
"124",1393,12
"125",1352,9.1
"126",1390,16.1
"127",1376,11.9
"128",1356,12.1
"129",1375,8.9
"130",1440,7.2
"131",1353,9
"132",1402,8.9
"133",1421,11.8
"134",1392,9.3
"135",1365,13.7
"136",1405,11.6
"137",1377,13.9
"138",1422,12.7
"139",1409,16.3
"140",1425,9.7
"141",1376,13.7
"142",1372,16
"143",1412,10.3
"144",1431,10.4
"145",1410,13.7
"146",1403,12.5
"147",1432,14
"148",1401,10.4
"149",1443,10.3
"150",1420,8.5
"151",1422,10.3
"152",1416,10
"153",1429,8.9
"154",1377,14.2
"155",1406,9.4
"156",1342,8.5
"157",1331,14.4
"158",1380,7.7
"159",1311,13.8
"160",1319,13.3
"161",1402,6.3
"162",1379,11.3
"163",1420,13.9
"164",1441,11.7
"165",1326,7.1
"166",1414,13.9
"167",1397,11.9
"168",1397,7.2
"169",1399,8.4
"170",1407,12.8
"171",1395,9.6
"172",1415,10.1
"173",1352,13.5
"174",1439,8.8
"175",1414,12.8
"176",1446,9.7
"177",1402,5
"178",1395,5.5
"179",1389,13.9
"180",1469,7
"181",1354,8
"182",1398,9.3
"183",1420,6.3
"184",1363,15
"185",1332,13.2
"186",1370,11.9
"187",1320,9
"188",1390,10
"189",1457,13.3
"190",1381,10.1
"191",1403,13.1
"192",1424,12.2
"193",1438,12.5
"194",1341,14
"195",1377,10.4
"196",1383,6.4
"197",1426,9.9
"198",1406,6
"199",1400,10.2
"200",1337,13.5
"201",1393,13
"202",1395,10.3
"203",1447,7
"204",1332,8.6
"205",1392,9.8
"206",1371,8.9
"207",1371,12.6
"208",1335,15
"209",1327,9.2
"210",1375,11.3
"211",1416,11.8
"212",1352,8.1
"213",1365,7.4
"214",1343,13.3
"215",1391,12
"216",1314,9.8
"217",1359,9.6
"218",1385,7.9
"219",1347,15.1
"220",1336,12.7
"221",1343,9.7
"222",1396,9
"223",1314,8.7
"224",1448,17.1
"225",1468,12.7
"226",1384,7
"227",1353,10.6
"228",1468,11.8
"229",1372,13.5
"230",1412,6.9
"231",1423,11.8
"232",1386,11.9
"233",1410,11.9
"234",1336,13.6
"235",1315,7.3
"236",1483,8.2
"237",1395,19.5
"238",1360,14
"239",1418,7.8
"240",1354,9.6
"241",1335,10.1
"242",1363,12.1
"243",1362,10
"244",1386,9.1
"245",1444,13.9
"246",1392,8.8
"247",1430,14.7
"248",1338,7.5
"249",1303,7.5
"250",1337,11.8
"251",1374,8.9
"252",1400,10.1
"253",1379,11.6
"254",1393,14
"255",1349,8.2
"256",1389,10.3
"257",1440,4.3
"258",1422,14
"259",1336,7.7
"260",1423,15.9
"261",1396,10.8
"262",1405,11.3
"263",1372,10
"264",1386,13.9
"265",1382,12.1
"266",1367,10.4
"267",1404,9.1
"268",1321,8
"269",1447,4.7
"270",1318,12.1
"271",1348,11.7
"272",1354,10.4
"273",1340,11.6
"274",1338,14.1
"275",1384,10.6
"276",1390,13.5
"277",1366,12
"278",1367,13
"279",1439,8.9
"280",1431,15.1
"281",1423,12.4
"282",1380,12.6
"283",1412,12.6
"284",1457,15.2
"285",1407,9
"286",1366,10.1
"287",1427,13.6
"288",1370,7.5
"289",1417,9.3
"290",1377,13.7
"291",1362,12.3
"292",1325,14.7
"293",1488,10
"294",1501,11.1
"295",1408,6
"296",1364,12.4
"297",1425,12.5
"298",1373,11.6
"299",1369,9.2
"300",1382,8.6
"301",1417,13.7
"302",1361,17
"303",1423,8.2
"304",1377,10
"305",1394,13.9
"306",1424,5.3
"307",1359,12.2
"308",1427,12.3
"309",1434,12.6
"310",1334,14.1
"311",1356,10.7
"312",1432,10.5
"313",1354,14.5
"314",1374,4.9
"315",1367,10.3
"316",1437,12
"317",1408,13.1
"318",1352,9.9
"319",1363,10.4
"320",1417,11.5
"321",1275,12.7
"322",1356,10.6
"323",1356,12.7
"324",1412,7.9
"325",1435,12
"326",1367,7.9
"327",1373,8.2
"328",1387,8.4
"329",1441,8.8
"330",1398,12.6
"331",1393,9.3
"332",1400,8.4
"333",1396,13.2
"334",1411,7.1
"335",1364,14.1
"336",1423,11.8
"337",1360,15.7
"338",1387,6.7
"339",1383,11.4
"340",1358,14.3
"341",1431,10.2
"342",1417,11.5
"343",1355,13.5
"344",1385,10.4
"345",1396,11
"346",1393,12.1
"347",1399,6.3
"348",1465,5.9
"349",1378,13.6
"350",1414,14.5
"351",1361,16.5
"352",1346,6.4
"353",1399,15.1
"354",1362,10.2
"355",1400,6.5
"356",1430,10.5
"357",1419,9.4
"358",1393,9.6
"359",1386,12.1
"360",1373,7
"361",1323,12.5
"362",1409,11.8
"363",1336,9.6
"364",1378,9.5
"365",1343,10.9
"366",1485,7.6
"367",1451,11.3
"368",1383,10.1
"369",1399,7.9
"370",1356,9.9
"371",1407,6.1
"372",1368,8.8
"373",1425,10.9
"374",1343,13.8
"375",1328,4.6
"376",1424,5.1
"377",1342,10.6
"378",1387,9.7
"379",1409,10.5
"380",1350,9.7
"381",1394,8.8
"382",1350,8.3
"383",1364,8.3
"384",1437,11.8
"385",1348,8.3
"386",1451,12.8
"387",1317,12.8
"388",1335,8.1
"389",1455,6.1
"390",1412,7.6
"391",1378,15.7
"392",1358,12.4
"393",1349,9.5
"394",1407,10.5
"395",1428,8.8
"396",1379,9.3
"397",1445,11.5
"398",1339,15.3
"399",1437,13.5
"400",1403,5.9
"401",1393,15.6
"402",1424,16
"403",1349,12.7
"404",1331,13.7
"405",1402,9.7
"406",1281,6.6
"407",1344,7.7
"408",1371,8.5
"409",1419,15.1
"410",1373,14.6
"411",1397,4.7
"412",1385,12.2
"413",1382,9.1
"414",1391,8.7
"415",1379,8.4
"416",1420,7.8
"417",1396,14.9
"418",1428,12.3
"419",1356,11.4
"420",1428,9
"421",1377,10.2
"422",1377,13.5
"423",1393,16.4
"424",1408,10
"425",1331,9.1
"426",1398,7.1
"427",1459,7.1
"428",1436,11.9
"429",1335,11.6
"430",1385,7.9
"431",1419,11.7
"432",1436,9.9
"433",1451,8.9
"434",1370,12
"435",1362,15.8
"436",1410,13
"437",1369,10.8
"438",1435,10.1
"439",1419,8.7
"440",1377,8.2
"441",1339,10.9
"442",1439,12.3
"443",1321,9.4
"444",1408,10.1
"445",1384,8.2
"446",1391,10.5
"447",1379,8.4
"448",1379,7.2
"449",1453,9.5
"450",1327,9.7
"451",1409,13.2
"452",1359,8.2
"453",1393,9.8
"454",1375,13.1
"455",1348,6.1
"456",1430,9.7
"457",1440,8.4
"458",1304,6.3
"459",1376,12.1
"460",1432,9.6
"461",1334,9.1
"462",1373,9
"463",1386,7.8
"464",1310,6.9
"465",1365,13.5
"466",1397,12
"467",1365,9.6
"468",1392,10.6
"469",1383,11.8
"470",1390,13
"471",1297,8
"472",1402,11.3
"473",1420,8.4
"474",1348,9.1
"475",1390,10.6
"476",1381,7.7
"477",1465,12.7
"478",1399,11.7
"479",1312,9.8
"480",1407,7.8
"481",1422,7.1
"482",1413,9.9
"483",1389,9.1
"484",1393,9.6
"485",1383,11.1
"486",1344,7.4
"487",1348,10.2
"488",1430,12
"489",1376,11.7
"490",1370,8.6
"491",1366,11.3
"492",1449,9.9
"493",1514,10.8
"494",1465,10
"495",1402,11.7
"496",1368,10.5
"497",1293,12.1
"498",1351,13
"499",1452,11.9
"500",1370,10
"501",1413,10.4
"502",1385,12.5
"503",1419,14.9
"504",1418,13.8
"505",1394,12.4
"506",1337,14.1
"507",1340,13.2
"508",1427,13
"509",1415,11.5
"510",1405,13.3
"511",1396,12.7
"512",1369,9.2
"513",1440,11.2
"514",1385,13.1
"515",1411,9.3
"516",1431,13.6
"517",1469,13.1
"518",1395,8.5
"519",1322,10.6
"520",1368,11.7
"521",1432,12.5
"522",1402,4.9
"523",1374,5.2
"524",1419,11.8
"525",1400,7.5
"526",1386,8.3
"527",1370,7.8
"528",1402,12.9
"529",1402,9.6
"530",1361,10.7
"531",1406,9.2
"532",1399,12.8
"533",1403,8
"534",1409,13.9
"535",1350,11.3
"536",1378,6.3
"537",1419,10.1
"538",1424,12.4
"539",1380,9.7
"540",1410,7.2
"541",1370,14.2
"542",1313,8.9
"543",1421,13
"544",1381,11
"545",1417,14
"546",1376,8.8
"547",1450,7.5
"548",1400,4.3
"549",1409,8.6
"550",1403,7.8
"551",1407,7.6
"552",1436,9.5
"553",1409,13.6
"554",1347,11
"555",1380,13.9
"556",1435,10.8
"557",1338,9.7
"558",1347,10.7
"559",1457,6.7
"560",1397,11.6
"561",1385,11.4
"562",1378,14.2
"563",1315,8.8
"564",1409,10.6
"565",1340,11.6
"566",1349,12.1
"567",1410,13.1
"568",1422,14.3
"569",1337,9.3
"570",1429,13.6
"571",1368,12.5
"572",1419,6.1
"573",1429,13.9
"574",1341,9.8
"575",1349,8.4
"576",1342,7.1
"577",1405,8.6
"578",1430,9.4
"579",1385,10.9
"580",1346,10.7
"581",1384,9
"582",1333,8.8
"583",1372,15.6
"584",1483,11.6
"585",1366,14.2
"586",1367,10.3
"587",1416,11.8
"588",1389,15.4
"589",1426,8.8
"590",1359,10.8
"591",1414,14
"592",1440,10.8
"593",1364,11.5
"594",1372,11.3
"595",1377,8.1
"596",1416,12.2
"597",1378,13.1
"598",1430,9.4
"599",1425,12.8
"600",1357,11.8
"601",1409,11.2
"602",1431,9.1
"603",1377,13.6
"604",1357,6.7
"605",1396,14.1
"606",1415,14.3
"607",1359,14
"608",1412,13.5
"609",1377,8.8
"610",1369,8.8
"611",1449,13.4
"612",1378,11.8
"613",1442,14.9
"614",1411,11.3
"615",1395,10.1
"616",1398,7.8
"617",1362,9.7
"618",1398,11.2
"619",1388,13
"620",1439,10.6
"621",1378,11.3
"622",1388,12.7
"623",1305,9.7
"624",1357,14.1
"625",1397,9.4
"626",1452,10.6
"627",1392,13.1
"628",1368,13.7
"629",1415,13.4
"630",1433,10.6
"631",1405,12.1
"632",1350,9.8
"633",1410,12.1
"634",1277,12
"635",1394,14.2
"636",1373,13.3
"637",1360,8.7
"638",1417,10.5
"639",1374,5.7
"640",1469,15.4
"641",1421,11.5
"642",1432,14.2
"643",1345,8
"644",1370,11.5
"645",1413,8.5
"646",1405,10.4
"647",1397,10.6
"648",1410,15.7
"649",1433,9.8
"650",1311,12.9
"651",1426,8.7
"652",1381,13
"653",1445,10.8
"654",1379,12.6
"655",1397,10.1
"656",1384,14.8
"657",1426,5.7
"658",1365,16.5
"659",1371,11.1
"660",1352,9.5
"661",1398,9.8
"662",1334,9.2
"663",1366,11.4
"664",1444,8.7
"665",1411,9.1
"666",1326,9.3
"667",1393,10.3
"668",1373,11.6
"669",1421,10.9
"670",1342,12.9
"671",1303,10.1
"672",1418,6.8
"673",1401,9.4
"674",1408,11.9
"675",1369,7.4
"676",1352,15.1
"677",1394,11.1
"678",1416,10.1
"679",1314,13.7
"680",1373,9.8
"681",1437,11.3
"682",1365,14.2
"683",1422,8.8
"684",1398,8.5
"685",1338,14.2
"686",1387,6.8
"687",1375,13.6
"688",1506,12.9
"689",1376,12.3
"690",1436,14.5
"691",1371,6.7
"692",1396,10.9
"693",1366,10.3
"694",1404,10.1
"695",1382,7.8
"696",1432,7.3
"697",1394,8.1
"698",1428,16.1
"699",1379,11.1
"700",1375,13.4
"701",1424,8.1
"702",1454,16.4
"703",1391,12.3
"704",1352,11.8
"705",1483,11.3
"706",1370,14.2
"707",1366,10.6
"708",1446,12.4
"709",1393,12.7
"710",1403,8.5
"711",1401,10.7
"712",1399,13
"713",1422,17.5
"714",1420,8
"715",1412,10.1
"716",1393,13.1
"717",1438,15
"718",1380,10.8
"719",1375,10.7
"720",1378,8.5
"721",1397,7.8
"722",1369,9.6
"723",1436,10
"724",1391,8.5
"725",1403,11.9
"726",1397,10.4
"727",1404,8.7
"728",1308,12
"729",1385,8.7
"730",1429,8.4
"731",1420,16.3
"732",1387,15
"733",1346,8.9
"734",1334,10.6
"735",1378,11.5
"736",1388,12
"737",1363,11.7
"738",1451,13.5
"739",1348,11.2
"740",1435,12.4
"741",1365,13.8
"742",1442,11.7
"743",1457,15.7
"744",1355,12.4
"745",1378,16
"746",1359,14.2
"747",1420,11.5
"748",1402,11.3
"749",1432,10.9
"750",1438,12.9
"751",1315,8.4
"752",1399,13.5
"753",1429,7.2
"754",1465,13.4
"755",1398,9.6
"756",1378,10.5
"757",1502,11.5
"758",1396,8.8
"759",1397,9.2
"760",1355,6.5
"761",1390,13
"762",1454,4.1
"763",1381,12.6
"764",1423,11.6
"765",1379,17.8
"766",1380,5.8
"767",1391,9.9
"768",1435,14.3
"769",1404,11.4
"770",1373,10.7
"771",1402,8.7
"772",1321,8.9
"773",1324,13.7
"774",1431,8.5
"775",1368,8
"776",1412,7.4
"777",1362,8.5
"778",1435,9.1
"779",1373,7.6
"780",1365,8.6
"781",1385,6.2
"782",1434,11.5
"783",1444,13.4
"784",1386,14.1
"785",1406,11.6
"786",1403,16
"787",1405,11.2
"788",1425,14.1
"789",1342,14.6
"790",1359,12.5
"791",1421,9.2
"792",1354,11.6
"793",1363,15.4
"794",1407,16
"795",1380,13.7
"796",1356,13.8
"797",1424,18.2
"798",1399,11.1
"799",1386,9.3
"800",1436,9.9
"801",1456,11.1
"802",1406,14.7
"803",1355,8.1
"804",1465,11.7
"805",1541,28.3
"806",1404,6.9
"807",1427,15.8
"808",1423,17.4
"809",1371,10.8
"810",1380,7.5
"811",1402,8.4
"812",1408,11.2
"813",1470,14.1
"814",1434,11.4
"815",1397,9.4
"816",1379,13.8
"817",1419,11
"818",1389,11.7
"819",1365,8.6
"820",1334,11.4
"821",1364,16.7
"822",1360,10.7
"823",1419,8.4
"824",1313,8.8
"825",1437,16.4
"826",1457,8.6
"827",1439,11.4
"828",1416,9.4
"829",1392,5.7
"830",1355,5.9
"831",1423,11.7
"832",1460,10.6
"833",1357,11.5
"834",1426,9.9
"835",1392,9.8
"836",1407,10
"837",1404,9.1
"838",1413,12.9
"839",1378,11.5
"840",1399,11.3
"841",1365,9.2
"842",1388,6
"843",1436,6.7
"844",1351,7.1
"845",1310,10.1
"846",1353,12.1
"847",1412,9.3
"848",1436,11.9
"849",1336,8.3
"850",1343,11.1
"851",1386,9.2
"852",1388,9.8
"853",1389,11.1
"854",1394,9.3
"855",1405,9.7
"856",1373,12.5
"857",1363,8
"858",1334,11.4
"859",1255,12.8
"860",1434,10.1
"861",1447,11.6
"862",1383,9.8
"863",1389,9.4
"864",1436,7.8
"865",1328,17.8
"866",1414,9.3
"867",1359,8.3
"868",1397,12.4
"869",1420,10.7
"870",1382,10.6
"871",1454,12.2
"872",1374,12.7
"873",1402,10.6
"874",1378,12.4
"875",1450,9.6
"876",1372,11.9
"877",1283,7.5
"878",1459,12
"879",1394,7.8
"880",1385,9.3
"881",1351,10.5
"882",1391,11.6
"883",1434,8.6
"884",1414,10
"885",1416,13.7
"886",1343,10.5
"887",1353,10.8
"888",1378,7.1
"889",1449,7.6
"890",1338,10.5
"891",1391,9.1
"892",1336,11.3
"893",1426,14.1
"894",1439,16.1
"895",1402,14.7
"896",1354,11.5
"897",1409,12.1
"898",1362,11
"899",1314,9.4
"900",1426,8.2
"901",1368,11.1
"902",1387,11.3
"903",1396,14.9
"904",1343,13.6
"905",1426,12.8
"906",1431,16.8
"907",1320,13.1
"908",1362,12.4
"909",1362,13.7
"910",1391,14.2
"911",1414,10.6
"912",1368,8.3
"913",1344,17.8
"914",1339,8.5
"915",1399,20.4
"916",1408,8.9
"917",1373,10.2
"918",1378,9
"919",1456,14.7
"920",1394,10.4
"921",1387,9.3
"922",1340,11.2
"923",1366,13.1
"924",1328,10.4
"925",1431,10.5
"926",1431,11.5
"927",1376,12.9
"928",1370,18.8
"929",1392,8.3
"930",1343,8.8
"931",1397,13.6
"932",1410,11.4
"933",1385,13.9
"934",1392,9.7
"935",1385,10.7
"936",1408,9.1
"937",1413,10.6
"938",1416,8.6
"939",1458,14
"940",1374,13.1
"941",1376,8.9
"942",1347,12.8
"943",1420,9.3
"944",1374,6.6
"945",1417,8.7
"946",1412,9.1
"947",1349,11.1
"948",1397,12.2
"949",1345,10.1
"950",1338,14.4
"951",1371,10.1
"952",1429,13.9
"953",1375,11.7
"954",1421,10.5
"955",1386,13
"956",1339,12
"957",1420,8.4
"958",1374,13.9
"959",1348,11.1
"960",1361,11
"961",1374,10.5
"962",1375,11.4
"963",1426,14.4
"964",1423,10.5
"965",1381,4.8
"966",1322,15.7
"967",1363,9.9
"968",1397,13
"969",1374,17.4
"970",1317,9.9
"971",1416,11.1
"972",1400,16.3
"973",1437,15.9
"974",1366,10
"975",1378,14.2
"976",1360,8.4
"977",1341,8.1
"978",1381,12.6
"979",1425,10.9
"980",1376,12.5
"981",1356,11.9
"982",1423,11.6
"983",1417,7.8
"984",1431,10.3
"985",1382,10.3
"986",1443,11.8
"987",1351,13.6
"988",1389,11.3
"989",1428,10.7
"990",1377,7.9
"991",1406,6.1
"992",1391,10.8
"993",1418,13.6
"994",1421,10.5
"995",1416,12
"996",1353,8.4
"997",1376,14.5
"998",1370,13.6
"999",1354,5
"1000",1356,14.8
"1001",1374,11.4
"1002",1391,12.8
"1003",1399,18.3
"1004",1486,9.6
"1005",1357,11.9
"1006",1384,13.5
"1007",1353,8.9
"1008",1346,12.7
"1009",1375,8.3
"1010",1424,10.1
"1011",1363,10.5
"1012",1397,12.9
"1013",1416,16.2
"1014",1328,12.8
"1015",1398,8.2
"1016",1441,9.6
"1017",1418,9.2
"1018",1403,15.5
"1019",1369,14.3
"1020",1431,13.1
"1021",1381,11.4
"1022",1427,8.2
"1023",1403,12.9
"1024",1439,15.7
"1025",1365,5.5
"1026",1389,8.6
"1027",1451,11.8
"1028",1409,12.4
"1029",1418,11
"1030",1397,6.1
"1031",1480,10.3
"1032",1434,8.8
"1033",1409,12.3
"1034",1343,11.4
"1035",1394,11.4
"1036",1372,10.7
"1037",1348,8.7
"1038",1326,13
"1039",1364,9.6
"1040",1432,7.9
"1041",1439,7.7
"1042",1343,14.4
"1043",1398,7
"1044",1462,10.4
"1045",1333,9.6
"1046",1409,15.1
"1047",1405,11.9
"1048",1365,15.5
"1049",1415,11.4
"1050",1376,11.7
"1051",1377,16.1
"1052",1375,9.9
"1053",1407,12.1
"1054",1359,10
"1055",1420,10.6
"1056",1373,19.1
"1057",1416,10
"1058",1394,11.3
"1059",1413,10.8
"1060",1453,13.3
"1061",1397,7.9
"1062",1422,13.3
"1063",1376,10.8
"1064",1411,8
"1065",1410,6.9
"1066",1367,12.4
"1067",1386,10.5
"1068",1405,13.9
"1069",1340,9.7
"1070",1385,13.8
"1071",1521,10.8
"1072",1428,8.8
"1073",1364,10.9
"1074",1407,9.6
"1075",1400,9.3
"1076",1426,9.9
"1077",1372,6.6
"1078",1350,13.9
"1079",1352,12
"1080",1395,13
"1081",1423,12
"1082",1448,12.4
"1083",1383,11.3
"1084",1393,10.1
"1085",1338,8.7
"1086",1352,8.2
"1087",1342,13.6
"1088",1363,6.8
"1089",1428,9.5
"1090",1353,16.5
"1091",1366,12.7
"1092",1425,13.6
"1093",1415,17.3
"1094",1382,11
"1095",1382,14.5
"1096",1334,7.3
"1097",1439,11.6
"1098",1378,8.5
"1099",1348,16.4
"1100",1499,5.5
"1101",1351,8.1
"1102",1352,16.3
